work_id,topic_id,topic_name
https://openalex.org/W2042373016,https://openalex.org/T11284,Coal Properties and Utilization
https://openalex.org/W2042373016,https://openalex.org/T12218,Coal and Its By-products
https://openalex.org/W2991480490,https://openalex.org/T10965,Geological formations and processes
https://openalex.org/W2991480490,https://openalex.org/T10399,Hydrocarbon exploration and reservoir analysis
https://openalex.org/W2991480490,https://openalex.org/T13177,Geological and Geophysical Studies
https://openalex.org/W3020833061,https://openalex.org/T10271,Seismic Imaging and Inversion Techniques
https://openalex.org/W3020833061,https://openalex.org/T10635,Hydraulic Fracturing and Reservoir Analysis
https://openalex.org/W3020833061,https://openalex.org/T10892,Drilling and Well Engineering
https://openalex.org/W1970024393,https://openalex.org/T10995,Methane Hydrates and Related Phenomena
https://openalex.org/W1970024393,https://openalex.org/T13925,Offshore Engineering and Technologies
https://openalex.org/W1970024393,https://openalex.org/T10892,Drilling and Well Engineering
https://openalex.org/W2276535086,https://openalex.org/T10399,Hydrocarbon exploration and reservoir analysis
https://openalex.org/W2276535086,https://openalex.org/T13177,Geological and Geophysical Studies
https://openalex.org/W2276535086,https://openalex.org/T13193,Geological Studies and Exploration
https://openalex.org/W2587344789,https://openalex.org/T10399,Hydrocarbon exploration and reservoir analysis
https://openalex.org/W2587344789,https://openalex.org/T13177,Geological and Geophysical Studies
https://openalex.org/W2587344789,https://openalex.org/T10635,Hydraulic Fracturing and Reservoir Analysis
https://openalex.org/W4246415414,https://openalex.org/T10399,Hydrocarbon exploration and reservoir analysis
https://openalex.org/W4246415414,https://openalex.org/T11801,Reservoir Engineering and Simulation Methods
https://openalex.org/W4246415414,https://openalex.org/T10635,Hydraulic Fracturing and Reservoir Analysis
https://openalex.org/W4409106236,https://openalex.org/T12157,Geochemistry and Geologic Mapping
https://openalex.org/W4409106236,https://openalex.org/T10399,Hydrocarbon exploration and reservoir analysis
https://openalex.org/W4409106236,https://openalex.org/T12282,Mineral Processing and Grinding
https://openalex.org/W2767607556,https://openalex.org/T10399,Hydrocarbon exploration and reservoir analysis
https://openalex.org/W2767607556,https://openalex.org/T13177,Geological and Geophysical Studies
https://openalex.org/W2767607556,https://openalex.org/T10995,Methane Hydrates and Related Phenomena
https://openalex.org/W4214854209,https://openalex.org/T10399,Hydrocarbon exploration and reservoir analysis
https://openalex.org/W4214854209,https://openalex.org/T10965,Geological formations and processes
https://openalex.org/W4214854209,https://openalex.org/T10001,Geological and Geochemical Analysis
https://openalex.org/W2897416659,https://openalex.org/T10271,Seismic Imaging and Inversion Techniques
https://openalex.org/W2897416659,https://openalex.org/T10892,Drilling and Well Engineering
https://openalex.org/W2897416659,https://openalex.org/T10635,Hydraulic Fracturing and Reservoir Analysis
https://openalex.org/W4283757143,https://openalex.org/T10271,Seismic Imaging and Inversion Techniques
https://openalex.org/W4283757143,https://openalex.org/T10399,Hydrocarbon exploration and reservoir analysis
https://openalex.org/W4283757143,https://openalex.org/T10965,Geological formations and processes
https://openalex.org/W4391850643,https://openalex.org/T12157,Geochemistry and Geologic Mapping
https://openalex.org/W4391850643,https://openalex.org/T10399,Hydrocarbon exploration and reservoir analysis
https://openalex.org/W4391850643,https://openalex.org/T11740,Geochemistry and Elemental Analysis
https://openalex.org/W1929564300,https://openalex.org/T10399,Hydrocarbon exploration and reservoir analysis
